LATITUDE,LONGITUDE,BRIGHTNESS,SCAN,TRACK,ACQ_DATE,ACQ_TIME,SATELLITE,INSTRUMENT,CONFIDENCE,VERSION,BRIGHT_T31,FRP,DAYNIGHT,geometry
41.67083,-87.46518,333.77,0.39,0.36,2025-06-01,0744,N,VIIRS,n,2.0NRT,280.33,2.13,N,POINT (-87.46518 41.67083)
41.63638,-87.14236,331.64,0.39,0.36,2025-06-01,0744,N,VIIRS,n,2.0NRT,284.73,3.52,N,POINT (-87.14236 41.63638)
41.63829,-87.13225,333.52,0.39,0.36,2025-06-01,0744,N,VIIRS,n,2.0NRT,282.02,1.79,N,POINT (-87.13225 41.63829)
41.64298,-87.14059,343.29,0.39,0.36,2025-06-01,0744,N,VIIRS,n,2.0NRT,284.38,10.2,N,POINT (-87.14059 41.64298)
40.39447,-79.8552,336.89,0.4,0.44,2025-06-01,0744,N,VIIRS,n,2.0NRT,282.29,2.35,N,POINT (-79.8552 40.39447)
41.56705,-84.04601,337.31,0.41,0.37,2025-06-01,0744,N,VIIRS,n,2.0NRT,283.96,5.27,N,POINT (-84.04601 41.56705)
41.45134,-81.67745,330.23,0.48,0.4,2025-06-01,0744,N,VIIRS,n,2.0NRT,281.01,2.42,N,POINT (-81.67745 41.45134)
41.46218,-81.67358,335.53,0.48,0.4,2025-06-01,0744,N,VIIRS,n,2.0NRT,282.3,2.83,N,POINT (-81.67358 41.46218)
42.29136,-83.1656,338.83,0.42,0.38,2025-06-01,0744,N,VIIRS,n,2.0NRT,282.03,5.17,N,POINT (-83.1656 42.29136)
39.48639,-84.38637,334.24,0.42,0.38,2025-06-01,0744,N,VIIRS,n,2.0NRT,284.56,3.42,N,POINT (-84.38637 39.48639)
38.111,-94.36758,338.96,0.41,0.45,2025-06-01,0744,N,VIIRS,n,2.0NRT,290.06,3.02,N,POINT (-94.36758 38.111)
39.66859,-94.76906,336.79,0.45,0.47,2025-06-01,0744,N,VIIRS,n,2.0NRT,289.25,3.15,N,POINT (-94.76906 39.66859)
41.61844,-87.33237,330.62,0.39,0.36,2025-06-01,0744,N,VIIRS,n,2.0NRT,283.06,2.94,N,POINT (-87.33237 41.61844)
41.62729,-87.36852,334.45,0.39,0.36,2025-06-01,0744,N,VIIRS,n,2.0NRT,282.57,2.13,N,POINT (-87.36852 41.62729)
30.0498,-93.33377,330.16,0.45,0.39,2025-06-01,0746,N,VIIRS,n,2.0NRT,295.97,1.75,N,POINT (-93.33377 30.0498)
29.60292,-89.88797,340.66,0.38,0.36,2025-06-01,0746,N,VIIRS,n,2.0NRT,293.22,2.41,N,POINT (-89.88797 29.60292)
30.00127,-90.3979,332.51,0.38,0.36,2025-06-01,0746,N,VIIRS,n,2.0NRT,297.4,2.35,N,POINT (-90.3979 30.00127)
32.31403,-90.13387,334.52,0.39,0.36,2025-06-01,0746,N,VIIRS,n,2.0NRT,291.96,3.23,N,POINT (-90.13387 32.31403)
35.93589,-89.71261,332.86,0.39,0.37,2025-06-01,0746,N,VIIRS,n,2.0NRT,291.16,3.05,N,POINT (-89.71261 35.93589)
35.00536,-91.25748,330.12,0.42,0.38,2025-06-01,0746,N,VIIRS,n,2.0NRT,290.59,5.97,N,POINT (-91.25748 35.00536)
47.51455,-114.84167,338.62,0.48,0.4,2025-06-01,0924,N,VIIRS,n,2.0NRT,290.17,4.28,N,POINT (-114.84167 47.51455)
47.51681,-114.84131,330.62,0.48,0.4,2025-06-01,0924,N,VIIRS,n,2.0NRT,289.42,3.25,N,POINT (-114.84131 47.51681)
47.51313,-114.84231,331.82,0.48,0.4,2025-06-01,0924,N,VIIRS,n,2.0NRT,286.28,4.72,N,POINT (-114.84231 47.51313)
42.68793,-111.58877,332.87,0.38,0.36,2025-06-01,0924,N,VIIRS,n,2.0NRT,288.42,17.92,N,POINT (-111.58877 42.68793)
47.52558,-114.83866,343.29,0.48,0.4,2025-06-01,0924,N,VIIRS,n,2.0NRT,289.85,4.42,N,POINT (-114.83866 47.52558)
47.52191,-114.83968,332.26,0.48,0.4,2025-06-01,0924,N,VIIRS,n,2.0NRT,288.25,2.75,N,POINT (-114.83968 47.52191)
32.00243,-103.82777,332.62,0.37,0.58,2025-06-01,0926,N,VIIRS,n,2.0NRT,289.9,2.41,N,POINT (-103.82777 32.00243)
31.72669,-102.29219,343.52,0.46,0.63,2025-06-01,0926,N,VIIRS,n,2.0NRT,289.97,3.34,N,POINT (-102.29219 31.72669)
38.82608,-111.4292,332.72,0.39,0.36,2025-06-01,0926,N,VIIRS,n,2.0NRT,289.7,2.83,N,POINT (-111.4292 38.82608)
37.16227,-76.93307,355.49,0.33,0.55,2025-06-01,1724,N,VIIRS,n,2.0NRT,295.92,5.29,D,POINT (-76.93307 37.16227)
33.01439,-79.88393,331.54,0.61,0.71,2025-06-01,1724,N,VIIRS,n,2.0NRT,294.99,5.27,D,POINT (-79.88393 33.01439)
43.22804,-85.99789,367.0,0.61,0.71,2025-06-01,1726,N,VIIRS,h,2.0NRT,294.97,24.74,D,POINT (-85.99789 43.22804)
38.81467,-75.6814,337.52,0.52,0.5,2025-06-01,1726,N,VIIRS,n,2.0NRT,292.18,3.69,D,POINT (-75.6814 38.81467)
38.81339,-75.68322,342.86,0.52,0.5,2025-06-01,1726,N,VIIRS,n,2.0NRT,291.18,4.11,D,POINT (-75.68322 38.81339)
39.91792,-75.39204,339.18,0.47,0.48,2025-06-01,1726,N,VIIRS,n,2.0NRT,298.22,3.39,D,POINT (-75.39204 39.91792)
